Product Name,Maker,Color,Model,Category,Balance Qty,Minimum Qty,Discount %
BQ -- LCD OPPO A1K BLACK,OPPO,BLACK,A1K,LCD,0,1,0
BQ -- LCD OPPO A37 WHITE,OPPO,WHITE,A37,LCD,2245,1,0
BQ -- LCD SAM J5 PRIME WHITE,SAM,WHITE,J5 PRIME,LCD,0,1,0
BQ -- LCD SAM J5 PRIME GOLD,SAM,GOLD,J5 PRIME,LCD,0,1,0
BQ -- LCD SAM J5 PRIME BLACK,SAM,BLACK,J5 PRIME,LCD,0,1,0
BQ -- LCD SAM J7 PRIME GOLD,SAM,GOLD,J7 PRIME,LCD,0,1,0
BQ -- LCD SAM J7 PRIME BLACK,SAM,BLACK,J7 PRIME,LCD,0,1,0
BQ -- LCD SAM J610 BLACK,SAM,BLACK,J610,LCD,0,1,0
BQ IC -- LED SAM J4 BLACK,SAM,BLACK,J4,LED,0,1,0
BQ IC -- LED SAM J4 GOLD,SAM,GOLD,J4,LED,0,1,0
BQ IC -- LED SAM J4 SKY BLUE,SAM,SKY BLUE,J4,LED,0,1,0
BQ -- LCD HUAWEI Y6-2 BLACK,HUAWEI,BLACK,Y6-2,LCD,505,1,0
BQ -- LCD HUAWEI Y6-2 GOLD,HUAWEI,GOLD,Y6-2,LCD,0,1,0
BQ -- LCD HUAWEI Y6-2 WHITE,HUAWEI,WHITE,Y6-2,LCD,0,1,0
BQ -- LCD SAM A10 BLACK,SAM,BLACK,A10,LCD,0,1,0
BQ -- LCD OPPO F1S WHITE,OPPO,WHITE,F1S,LCD,3397,1,0
BQ -- LCD SAM J330 BLACK,SAM,BLACK,J330,LCD,0,1,0
BQ -- LCD SAM J330 GOLD,SAM,GOLD,J330,LCD,0,1,0
BQ -- LCD VIVO Y20 BLACK,VIVO,BLACK,Y20,LCD,0,1,0
BQ -- LCD OPPO A83 BLACK,OPPO,BLACK,A83,LCD,0,1,0
BQ -- LCD OPPO A83 WHITE,OPPO,WHITE,A83,LCD,0,1,0
BQ -- LCD VIVO Y81 Y83 BLACK,VIVO,BLACK,Y81 Y83,LCD,0,1,0
UNIT COMP -- LED SAM A515 BLACK,SAM,BLACK,A515,LED,325,1,0
UNIT -- LCD VIVO Y85 V9 BLACK,VIVO,BLACK,Y85 V9,LCD,0,1,0
UNIT -- LCD SAM A12/A02 BLACK,SAM,BLACK,A12/A02,LCD,1276,1,0
BQ -- LCD VIVO Y85 BLACK,VIVO,BLACK,Y85,LCD,0,1,0
BQ -- LCD OPPO A5 2020 BLACK,OPPO,BLACK,A5 2020,LCD,0,1,0
BQ -- LCD SAM A20S BLACK,SAM,BLACK,A20S,LCD,0,1,0
BQ -- LCD OPPO F5 WHITE,OPPO,WHITE,F5,LCD,0,1,0
UNIT -- LCD SAM A21S BLACK,SAM,BLACK,A21S,LCD,458,1,0
